,star_name,distance,mass,radius,gravity
236,HB 2124-4228,113,1.87E+32,841797000,2.61645E+15
237,2MASS J21392676+0220226,32.1,9.15E+31,667872000,2.03409E+15
238,2MASS J21481628+4003593,26.3,1.09E+32,688743000,2.2869E+15
239,2MASSW J2206450-421721,93,4.38E+31,925281000,5.06844E+14
240,2MASSW J2208136+292121,154,5.37E+31,980937000,5.53453E+14
241,2MASSW J2224438-015852,38,1.21E+32,688743000,2.53638E+15
242,2MASS J22282889-4310262,35,8.35E+31,653958000,1.93709E+15
243,2MASS J22373255+3922398,64,1.45E+32,723528000,2.7505E+15
244,2MASSW J2244316+204343,56,2.39E+31,897453000,2.93871E+14
245,2MASS J23224684-3133231,56,4.77E+31,967023000,5.06217E+14
246,2MASS J23225299-6151275,148,3.38E+31,1106163000,2.74037E+14
247,2MASS J23515044-2537367,67,1.75E+32,807012000,2.66515E+15
248,2MASSI J2356547-155310,74,1.59E+32,758313000,2.74405E+15
249,WISE 0410+1502,20,1.19E+31,813969000,1.78622E+14
250,WISE 0458+6434A,35.9,2.98E+31,2921940000,3.46536E+13
251,WISE 0458+6434B,35.9,1.99E+31,2643660000,2.8222E+13
252,WISE 1405+5534,25.3,5.97E+31,598302000,1.65303E+15
